,Product,Brand,Description,Sale Price in ₦,Marked Price in ₦,Number of Ratings,Number of Reviews,Star Ratings
37,Blender,BINATONE,Binatone Blender,23120,25944,5659.0,3299.0,4.8
38,Refrigerator,HISENSE,Hisense Refrigerator,342302,379448,7450.0,594.0,4.1
39,Air Conditioner,PANASONIC,Panasonic Air Conditioner,382631,441941,1335.0,1835.0,4.7
40,Rice Cooker,KENWOOD,Kenwood Rice Cooker,35626,37833,10784.0,2234.0,4.8
41,Laptop,DELL,Dell Laptop,573510,628779,8056.0,1991.0,3.8
42,Microwave,LG,LG Microwave,99949,108158,135.0,1619.0,3.9
43,Standing Fan,OX,OX Standing Fan,49923,55388,11512.0,3941.0,
44,Standing Fan,CENTURY,Century Standing Fan,77252,81788,3211.0,1235.0,3.8
45,SmartSmartphone,ITEL,Itel Smartphone,643543,653532,5238.0,254.0,3.6
46,Speaker,ORAIMO,Oraimo Speaker,28830,32910,1412.0,3507.0,3.8
47,Power Bank,ORAIMO,Oraimo Power Bank,52324,56250,6715.0,511.0,4.9
48,Power Bank,XIAOMI,Xiaomi Power Bank,43070,49940,751.0,2556.0,3.6
49,Blender,PANASONIC,Panasonic Blender,81520,92085,5283.0,3848.0,3.9
50,Blender,PANASONIC,Panasonic Blender,55225,59180,4451.0,,3.7
51,Blender,KENWOOD,Kenwood Blender,70749,77929,1288.0,58.0,
52,Power Bank,ORAIMO,Oraimo Power Bank,14583,16801,8388.0,1106.0,3.7
53,Generator,FIRMAN,Firman Generator,379933,406150,4769.0,666.0,4.2
54,HeadSmartphones,JBL,JBL Headphones,75459,88173,,52.0,4.5
55,HeadSmartphones,JBL,JBL Headphones,91254,94951,2300.0,1103.0,3.7
56,Laptop,ACER,Acer Laptop,568300,605997,4716.0,2497.0,3.8
57,Generator,SUMEC,Sumec Generator,785762,870892,4425.0,2090.0,4.2
58,Printer,HP,HP Printer,117511,133390,4633.0,200.0,3.5
59,Standing Fan,BINATONE,Binatone Standing Fan,49012,52335,,2279.0,
60,HeadSmartphones,ORAIMO,Oraimo Headphones,20509,22663,11421.0,3722.0,3.7
61,SmartSmartphone,SAMSUNG,Samsung Smartphone,621385,695805,2526.0,1780.0,3.7
62,Air Conditioner,MIDEA,Midea Air Conditioner,190377,221832,5962.0,880.0,4.5
63,Blender,BINATONE,Binatone Blender,55967,64357,9273.0,3641.0,4.8
64,Power Bank,XIAOMI,Xiaomi Power Bank,24849,27514,3000.0,3630.0,4.1
65,Television,SAMSUNG,Samsung Television,830463,940391,11075.0,3559.0,4.6
66,Refrigerator,SCANFROST,Scanfrost Refrigerator,298973,346931,1871.0,1586.0,4.8
67,Rice Cooker,PANASONIC,Panasonic Rice Cooker,50520,54154,7641.0,1452.0,4.0
68,Standing Fan,BINATONE,Binatone Standing Fan,45026,47219,10913.0,811.0,
69,Air Conditioner,LG,LG Air Conditioner,424658,472683,10610.0,2106.0,4.1
70,Rice Cooker,KENWOOD,Kenwood Rice Cooker,65952,68404,1989.0,3612.0,5.0
71,Television,TCL,TCL Television,393854,398361,1876.0,2463.0,4.2
72,Electric Kettle,NEXUS,Nexus Electric Kettle,33116,37599,8479.0,,4.1
73,Power Bank,XIAOMI,Xiaomi Power Bank,26512,28693,11712.0,1806.0,3.5
74,Printer,EPSON,Epson Printer,395962,445110,11087.0,827.0,4.0
75,Laptop,LENOVO,Lenovo Laptop,1502560,1586851,10968.0,,3.7
76,Printer,CANON,Canon Printer,328609,350878,11026.0,1692.0,4.0
77,Electric Kettle,NEXUS,Nexus Electric Kettle,15145,17341,6988.0,2743.0,4.9
78,Blender,PANASONIC,Panasonic Blender,36345,40810,6753.0,2264.0,4.8
79,Air Conditioner,MIDEA,Midea Air Conditioner,370219,400392,9602.0,2504.0,
80,Speaker,LG,LG Speaker,124907,133909,8475.0,1958.0,4.7
81,Standing Fan,CENTURY,Century Standing Fan,35543,40241,1489.0,1182.0,4.3
82,Blender,PANASONIC,Panasonic Blender,59168,61933,3948.0,,4.0
83,Standing Fan,BINATONE,Binatone Standing Fan,35213,37313,857.0,1022.0,5.0
84,Power Bank,ORAIMO,Oraimo Power Bank,36451,41846,10418.0,,3.8
85,Electric Kettle,NEXUS,Nexus Electric Kettle,36126,41399,4097.0,624.0,
86,SmartSmartphone,TECNO,Tecno Smartphone,500115,530798,2981.0,3313.0,
87,HeadSmartphones,SAMSUNG,Samsung Headphones,12440,14582,4182.0,3777.0,4.8
88,Speaker,ORAIMO,Oraimo Speaker,210861,228086,11037.0,2195.0,5.0
89,Power Bank,ANKER,Anker Power Bank,55871,61496,10137.0,3358.0,4.6
90,HeadSmartphones,SAMSUNG,Samsung Headphones,100007,116864,9076.0,1846.0,4.8
91,Electric Kettle,NEXUS,Nexus Electric Kettle,35434,38495,4150.0,3460.0,4.5
92,Standing Fan,CENTURY,Century Standing Fan,75598,81517,4599.0,1821.0,
93,Air Conditioner,HISENSE,Hisense Air Conditioner,418893,464913,5338.0,3677.0,4.3
94,Television,HISENSE,Hisense Television,335393,362495,11469.0,645.0,4.6
95,Laptop,ASUS,Asus Laptop,1046059,1134797,8990.0,1928.0,4.1
96,Refrigerator,NEXUS,Nexus Refrigerator,509840,588396,11495.0,100.0,4.8
97,Standing Fan,CENTURY,Century Standing Fan,61950,67857,196.0,3881.0,4.0
98,Standing Fan,OX,OX Standing Fan,62103,72921,9047.0,3296.0,4.4
99,Refrigerator,NEXUS,Nexus Refrigerator,390193,410080,7240.0,2009.0,3.5
