Gender,Height,Weight
Female,65.45,134.88
Female,63.65,148.32
Female,63.56,128.64
Male,73.76,234.17
Male,71.62,205.86
Male,66.72,195.88
Male,67.58,189.49
Female,68.04,150.07
Female,66.89,148.38
Male,64.45,172.89
Male,64.78,187.49
Female,62.64,126.12
Female,60.37,109.12
Female,66.46,154.15
Female,68.38,169.25
Female,64.13,142.3
Female,64.63,151.69
Female,62.4,122.82
Female,62.71,115.85
Female,63.24,137.82
Female,64.81,153.74
Female,62.63,139.78
Female,65.28,174.72
Female,66.16,159.21
Female,66.95,143.83
Male,67.49,196.38
Male,70.51,200.85
Female,66.59,154.76
Male,70.97,206.44
Female,61.86,123.22
Male,65.34,198.24
Female,66.34,148.16
Male,66.33,193.93
Female,71.21,175.17
Female,66.3,153.69
Female,65.32,141.04
Female,70.87,161.54
Female,69.17,168.23
Female,59.23,111.29
Male,64.61,174.38
Female,63.09,141.66
Male,66.62,181.87
Female,62.25,129.5
Female,66.32,153.01
Female,62.99,138.22
Male,74.89,230.26
Female,64.71,132.35
Female,65.65,140.4
Male,70.55,199.57
Male,65.04,201.88
Female,60.97,124.8
Male,73.06,210.18
Female,63.9,158.44
Female,62.21,138.32
Male,68.29,198.94
Male,68.3,204.02
Female,62.24,130.01
Female,63.27,132.91
Female,63.82,155.9
Female,64.78,149.79
Female,68.66,169.09
Female,65.62,134.97
Female,63.48,145.59
Female,65.37,147.02
Male,69.02,210.58
Female,62.78,113.33
Female,64.97,149.95
Female,63.39,120.69
Male,65.8,164.82
Female,60.08,110.22
Male,72.17,198.03
Male,68.96,204.07
Female,65.74,138.62
Female,63.4,132.24
Male,70.07,206.91
Male,66.24,181.4
Male,70.13,207.14
Female,71.08,180.81
Male,66.81,180.76
Male,71.64,229.2
Female,65.77,139.47
Male,75.57,228.36
Male,69.84,190.9
Male,72.54,237.3
Female,60.06,134.44
Male,70.48,199.48
Female,65.34,148.0
Male,66.37,197.34
Male,71.44,220.09
Male,65.68,195.03
Male,62.09,154.2
Female,63.85,146.33
Male,69.3,200.37
Female,62.73,142.36
Female,59.33,126.97
Female,66.76,150.1
Female,64.55,145.05
Male,71.44,208.56
Female,68.05,172.77
Male,63.83,191.87
Male,74.6,222.03
Male,71.22,231.89
Male,69.23,194.01
Male,66.58,208.08
Male,68.78,195.6
Female,63.73,119.89
Male,66.68,178.67
Female,64.58,141.14
Male,66.97,194.26
Female,63.95,120.14
Male,68.04,190.57
Female,62.29,130.88
Female,63.84,132.08
Female,64.48,130.14
Male,66.92,186.88
Female,66.94,156.19
Male,71.75,224.65
Female,64.05,132.09
Male,69.11,185.39
Male,66.62,165.29
Female,69.03,161.1
Female,59.84,108.32
Female,68.33,165.93
Male,69.39,216.49
Male,70.68,203.6
Male,71.36,239.98
Female,62.85,135.34
Female,61.82,145.12
Male,67.2,196.05
Female,62.03,134.08
Male,70.73,207.56
Female,67.95,156.91
Female,62.43,146.59
Male,70.21,193.69
Female,62.86,128.9
Male,67.27,180.94
Male,68.59,208.31
Female,65.98,151.4
Female,61.29,117.94
Female,69.81,157.62
Male,68.34,191.69
Male,66.19,184.51
Male,71.47,207.27
Female,59.6,102.9
Female,64.14,138.74
Male,71.06,197.58
Male,67.41,197.54
Male,69.67,202.87
Male,71.91,215.04
Male,67.31,192.24
Female,64.41,155.16
Female,67.36,160.71
Male,69.7,185.51
Female,61.96,121.31
Male,68.66,195.16
Male,63.26,159.66
Male,69.06,184.1
Female,66.12,145.54
Male,74.63,249.19
Male,69.03,195.87
Male,71.47,229.68
Female,63.86,135.25
Female,63.31,145.77
Female,56.45,99.08
Female,64.23,136.19
Male,66.73,189.72
Female,66.2,138.04
Female,62.18,126.75
Female,61.43,127.19
Male,71.6,201.61
Female,58.29,110.48
Female,69.02,175.28
Female,66.44,124.67
Female,63.33,129.32
Male,64.46,162.88
Female,65.06,127.26
Female,63.48,136.51
Male,68.25,203.17
Female,60.84,121.78
Female,64.76,129.42
Male,69.99,211.49
Male,73.93,217.22
Female,64.81,140.88
Female,61.67,139.94
Female,61.88,132.06
Male,75.37,210.59
Male,68.32,188.89
Male,71.44,219.62
Male,65.41,187.81
Male,66.08,153.42
Male,69.6,230.62
Female,67.13,165.96
Male,71.57,197.62
Male,69.45,205.57
Female,63.13,117.2
Male,72.83,246.56
Male,73.44,254.62
Male,67.48,205.42
Female,69.07,167.07
Male,70.64,221.56
Female,62.47,128.67
Male,64.35,177.77
Female,62.48,123.82
Female,61.76,124.32
Male,68.3,199.79
Male,73.35,206.98
Male,69.99,207.79
Male,67.34,205.84
Male,68.96,217.67
Male,68.05,190.76
Male,70.84,229.67
Male,66.27,198.74
Female,70.85,168.27
Male,73.4,229.96
Female,62.54,133.68
Male,73.61,230.6
Male,74.66,237.98
Male,73.32,236.38
Female,64.57,138.58
Male,69.22,204.11
Male,67.97,218.91
