Student_ID,Gender,Courses,Hours_attended,Hours_prepared,Success_exam
37,Male,Arts,13.0,13.0,N
83,Male,Commerce,20.0,12.0,Y
66,Female,Commerce,22.0,12.0,Y
133,Male,Arts,11.0,15.0,N
35,Female,Science,11.0,7.0,N
104,Male,Science,19.0,11.0,Y
81,Male,Commerce,150.0,3.0,N
138,Female,Arts,17.0,14.0,N
148,Male,Commerce,29.0,13.0,Y
68,Female,Science,11.0,9.0,N
75,Male,Arts,22.0,15.0,Y
131,Female,Science,10.0,9.0,N
53,Female,Science,26.0,8.0,Y
15,Male,Science,24.958620689655174,10.0,N
112,Male,Commerce,18.0,9.441379310344828,Y
39,Female,Science,10.0,12.0,N
47,Female,Science,28.0,14.0,Y
127,Male,Arts,21.0,8.0,Y
74,Male,Arts,14.0,10.0,N
65,Male,Science,22.0,14.0,Y
55,Female,Commerce,13.0,6.0,N
70,Female,Arts,25.0,9.0,Y
36,Male,Commerce,17.0,4.0,N
85,Male,Arts,9.0,3.0,N
126,Female,Arts,26.0,7.0,N
124,Male,Science,24.958620689655174,5.0,N
33,Female,Arts,28.0,11.0,Y
78,Male,Arts,11.0,6.0,N
17,Male,Commerce,16.0,5.0,N
93,Male,Commerce,13.0,9.441379310344828,N
91,Male,Commerce,20.0,4.0,N
19,Male,Science,23.0,15.0,Y
88,Female,Science,15.0,6.0,N
94,Female,Arts,18.0,5.0,N
150,Female,Arts,25.0,9.0,Y
52,Female,Science,27.0,9.0,Y
82,Female,Commerce,15.0,4.0,N
121,Female,Commerce,29.0,9.441379310344828,Y
147,Female,Science,12.0,7.0,N
3,Male,Commerce,23.0,8.0,Y
34,Male,Arts,27.0,3.0,N
107,Female,Commerce,30.0,15.0,Y
89,Female,Commerce,8.0,5.0,N
77,Male,Commerce,28.0,14.0,Y
30,Male,Commerce,22.0,15.0,Y
132,Male,Commerce,25.0,7.0,N
50,Female,Commerce,16.0,10.0,N
84,Female,Arts,10.0,6.0,N
46,Male,Arts,160.0,8.0,N
61,Male,Commerce,170.0,9.0,Y
115,Male,Science,9.0,3.0,N
25,Female,Commerce,22.0,9.0,Y
116,Female,Science,29.0,10.0,Y
123,Male,Commerce,20.0,10.0,Y
102,Male,Commerce,14.0,11.0,N
136,Female,Arts,25.0,13.0,Y
43,Female,Science,28.0,15.0,Y
67,Female,Arts,18.0,11.0,Y
8,Male,Arts,27.0,9.0,Y
5,Male,Commerce,19.0,9.0,Y
100,Male,Commerce,16.0,13.0,N
29,Male,Science,19.0,4.0,N
139,Male,Commerce,25.0,8.0,Y
142,Male,Science,21.0,15.0,Y
105,Female,Arts,22.0,10.0,Y
23,Female,Commerce,15.0,14.0,N
42,Female,Commerce,25.0,6.0,N
54,Male,Commerce,20.0,12.0,Y
51,Female,Commerce,23.0,4.0,N
76,Male,Science,24.958620689655174,12.0,N
97,Male,Arts,8.0,5.0,N
57,Male,Commerce,10.0,9.0,N
16,Male,Arts,21.0,9.0,Y
103,Male,Science,17.0,14.0,N
80,Male,Arts,24.0,12.0,Y
45,Male,Science,21.0,15.0,Y
20,Female,Arts,15.0,3.0,N
38,Male,Arts,27.0,9.0,Y
40,Female,Science,11.0,13.0,N
106,Male,Science,20.0,12.0,Y
144,Female,Science,24.0,6.0,N
11,Female,Arts,10.0,13.0,N
63,Male,Science,25.0,11.0,Y
24,Female,Commerce,23.0,4.0,N
18,Male,Arts,22.0,7.0,Y
119,Female,Commerce,30.0,11.0,Y
86,Female,Science,9.0,8.0,N
129,Female,Commerce,17.0,10.0,N
120,Male,Commerce,12.0,9.0,N
134,Female,Science,20.0,3.0,N
141,Male,Commerce,8.0,11.0,Y
