Student_ID,Gender,Courses,Hours_attended,Hours_prepared,Success_exam
65,Male,Science,22.0,14.0,Yes
55,Female,Commerce,13.0,6.0,N
70,Female,Arts,25.0,9.0,Y
135,Female,Commerce,26.0,14.0,Yes
36,Male,Commerce,17.0,4.0,N
85,Male,Arts,9.0,3.0,No
126,Female,Arts,26.0,7.0,N
124,Male,Science,,5.0,N
71,Male,Science,17.0,6.0,N
33,Female,Arts,28.0,11.0,Y
78,Male,Arts,11.0,6.0,N
17,Male,Commerce,16.0,5.0,N
93,Male,Commerce,13.0,,No
91,Male,Commerce,20.0,4.0,N
19,Male,Science,23.0,15.0,Yes
88,Female,Science,15.0,6.0,No
94,Female,Arts,18.0,5.0,N
83,Male,Commerce,20.0,12.0,
150,Female,Arts,25.0,9.0,Yes
52,Female,Science,27.0,9.0,Y
82,Female,Commerce,15.0,4.0,No
121,Female,Commerce,29.0,,Y
147,Female,Science,12.0,7.0,N
3,Male,Commerce,23.0,8.0,Y
34,Male,Arts,27.0,3.0,N
107,Female,Commerce,30.0,15.0,Y
89,Female,Commerce,8.0,5.0,N
77,Male,Commerce,28.0,14.0,Yes
30,Male,Commerce,22.0,15.0,Yes
132,Male,Commerce,25.0,7.0,No
110,Female,Commerce,,6.0,No
50,Female,Commerce,16.0,10.0,No
84,Female,Arts,10.0,6.0,N
46,Male,Arts,160.0,8.0,No
61,Male,Commerce,170.0,9.0,Yes
115,Male,Science,9.0,3.0,No
25,Female,Commerce,22.0,9.0,Y
116,Female,Science,29.0,10.0,Y
123,Male,Commerce,20.0,10.0,Y
102,Male,Commerce,14.0,11.0,N
136,Female,Arts,25.0,13.0,Y
43,Female,Science,28.0,15.0,Y
67,Female,Arts,18.0,11.0,Yes
8,Male,Arts,27.0,9.0,Y
5,Male,Commerce,19.0,9.0,Yes
100,Male,Commerce,16.0,13.0,No
29,Male,Science,19.0,4.0,N
139,Male,Commerce,25.0,8.0,Yes
142,Male,Science,21.0,15.0,Yes
105,Female,Arts,22.0,10.0,Y
23,Female,Commerce,15.0,14.0,No
42,Female,Commerce,25.0,6.0,No
54,Male,Commerce,20.0,12.0,Yes
51,Female,Commerce,23.0,4.0,No
76,Male,Science,,12.0,No
43,Female,Science,28.0,15.0,Y
97,Male,Arts,8.0,5.0,No
2,Male,Arts,23.0,7.0,N
115,Male,Science,9.0,3.0,No
57,Male,Commerce,10.0,9.0,N
16,Male,Arts,21.0,9.0,Yes
103,Male,Science,17.0,14.0,No
80,Male,Arts,24.0,12.0,Yes
45,Male,Science,21.0,15.0,Y
20,Female,Arts,15.0,3.0,N
38,Male,Arts,27.0,9.0,Y
40,Female,Science,11.0,13.0,No
106,Male,Science,20.0,12.0,Y
144,Female,Science,24.0,6.0,N
11,Female,Arts,10.0,13.0,No
63,Male,Science,25.0,11.0,Yes
24,Female,Commerce,23.0,4.0,N
18,Male,Arts,22.0,7.0,
119,Female,Commerce,30.0,11.0,Y
86,Female,Science,9.0,8.0,No
129,Female,Commerce,17.0,10.0,N
120,Male,Commerce,12.0,9.0,N
134,Female,Science,20.0,3.0,No
141,Male,Commerce,8.0,11.0,
